Region,Sweet_Preference,Festival,Language,Socio_Economic_Class,Purchase_Amount
South India,Mysore Pak,Onam,Malayalam,Upper,270.66
North India,Ladoo,Holi,Punjabi,Lower,744.35
North India,Rasgulla,Diwali,Hindi,Upper,238.32
West India,Mohanthal,Navratri,Gujarati,Upper,686.6
West India,Puran Poli,Ganesh Chaturthi,Gujarati,Lower,620.21
South India,Mysore Pak,Onam,Telugu,Lower,900.23
North India,Gulab Jamun,Holi,Hindi,Middle,426.36
West India,Mohanthal,Diwali,Konkani,Upper,195.17
West India,Ladoo,Diwali,Konkani,Upper,299.35
North India,Ladoo,Holi,Punjabi,Middle,459.43
South India,Boondi Laddu,Onam,Kannada,Lower,851.11
East India,Sandesh,Makar Sankranti,Odia,Middle,577.76
East India,Sandesh,Durga Puja,Odia,Upper,110.47
East India,Sandesh,Poila Baisakh,Odia,Middle,394.07
East India,Rasgulla,Durga Puja,Odia,Lower,768.76
West India,Ladoo,Diwali,Konkani,Lower,541.0
North India,Ladoo,Karva Chauth,Hindi,Middle,160.94
West India,Ladoo,Ganesh Chaturthi,Gujarati,Lower,662.38
North India,Rasgulla,Karva Chauth,Urdu,Upper,496.58
South India,Kozhukattai,Pongal,Telugu,Upper,426.42
East India,Pitha,Durga Puja,Assamese,Middle,996.73
South India,Mysore Pak,Onam,Malayalam,Lower,280.93
South India,Kozhukattai,Ugadi,Kannada,Lower,374.76
West India,Mohanthal,Gudi Padwa,Gujarati,Lower,886.0
North India,Barfi,Holi,Hindi,Middle,640.84
North India,Ladoo,Diwali,Punjabi,Lower,785.01
West India,Ladoo,Ganesh Chaturthi,Konkani,Upper,560.68
East India,Chhena Poda,Poila Baisakh,Odia,Upper,929.99
West India,Shrikhand,Gudi Padwa,Konkani,Lower,262.77
West India,Shrikhand,Ganesh Chaturthi,Konkani,Upper,398.24
North India,Barfi,Diwali,Hindi,Upper,508.53
West India,Puran Poli,Diwali,Marathi,Upper,198.87
South India,Boondi Laddu,Ugadi,Kannada,Lower,163.56
West India,Shrikhand,Navratri,Marathi,Lower,478.27
East India,Sandesh,Poila Baisakh,Bengali,Middle,658.24
East India,Chhena Poda,Makar Sankranti,Bengali,Middle,222.51
West India,Puran Poli,Navratri,Gujarati,Middle,678.29
East India,Pitha,Rath Yatra,Odia,Middle,962.46
East India,Sandesh,Durga Puja,Assamese,Upper,979.95
East India,Sandesh,Durga Puja,Assamese,Upper,205.98
North India,Barfi,Holi,Hindi,Lower,644.79
East India,Sandesh,Makar Sankranti,Assamese,Upper,109.13
East India,Sandesh,Durga Puja,Bengali,Middle,602.19
South India,Boondi Laddu,Onam,Tamil,Middle,949.32
South India,Boondi Laddu,Ugadi,Kannada,Middle,936.58
North India,Gulab Jamun,Diwali,Hindi,Lower,577.33
West India,Ladoo,Ganesh Chaturthi,Gujarati,Middle,158.5
North India,Barfi,Karva Chauth,Punjabi,Middle,154.11
West India,Ladoo,Ganesh Chaturthi,Marathi,Upper,306.0
West India,Mohanthal,Ganesh Chaturthi,Gujarati,Upper,910.8
North India,Ladoo,Baisakhi,Urdu,Middle,609.39
South India,Mysore Pak,Diwali,Telugu,Middle,415.36
South India,Mysore Pak,Pongal,Malayalam,Middle,401.2
North India,Ladoo,Diwali,Hindi,Middle,506.5
East India,Pitha,Poila Baisakh,Bengali,Lower,119.75
South India,Boondi Laddu,Ugadi,Telugu,Middle,423.36
West India,Shrikhand,Ganesh Chaturthi,Konkani,Middle,261.35
East India,Chhena Poda,Poila Baisakh,Bengali,Middle,734.4
East India,Rasgulla,Poila Baisakh,Odia,Middle,822.24
North India,Rasgulla,Diwali,Hindi,Lower,508.39
East India,Sandesh,Poila Baisakh,Assamese,Middle,514.19
East India,Pitha,Makar Sankranti,Bengali,Lower,917.64
West India,Shrikhand,Gudi Padwa,Gujarati,Upper,502.58
North India,Barfi,Karva Chauth,Hindi,Lower,129.7
North India,Barfi,Holi,Hindi,Lower,893.55
South India,Payasam,Diwali,Malayalam,Lower,290.84
West India,Shrikhand,Navratri,Marathi,Middle,963.91
East India,Chhena Poda,Rath Yatra,Assamese,Upper,720.21
South India,Boondi Laddu,Diwali,Kannada,Lower,176.37
North India,Rasgulla,Karva Chauth,Punjabi,Lower,916.25
West India,Mohanthal,Navratri,Marathi,Upper,548.45
South India,Kozhukattai,Ugadi,Tamil,Middle,397.64
West India,Shrikhand,Diwali,Gujarati,Upper,873.92
North India,Ladoo,Karva Chauth,Punjabi,Middle,344.91
North India,Gulab Jamun,Baisakhi,Hindi,Lower,980.61
North India,Gulab Jamun,Karva Chauth,Punjabi,Middle,799.61
West India,Puran Poli,Gudi Padwa,Gujarati,Middle,193.09
West India,Mohanthal,Gudi Padwa,Marathi,Lower,783.43
West India,Puran Poli,Navratri,Konkani,Middle,851.13
North India,Gulab Jamun,Karva Chauth,Hindi,Middle,903.47
East India,Chhena Poda,Rath Yatra,Assamese,Middle,521.32
North India,Rasgulla,Karva Chauth,Punjabi,Lower,269.9
East India,Pitha,Rath Yatra,Odia,Middle,223.62
East India,Pitha,Rath Yatra,Assamese,Middle,821.93
South India,Payasam,Ugadi,Tamil,Middle,643.55
West India,Ladoo,Gudi Padwa,Gujarati,Lower,728.07
West India,Puran Poli,Diwali,Marathi,Lower,823.96
South India,Kozhukattai,Diwali,Telugu,Middle,978.68
North India,Gulab Jamun,Holi,Punjabi,Upper,321.22
West India,Shrikhand,Navratri,Gujarati,Middle,113.36
North India,Ladoo,Karva Chauth,Punjabi,Lower,983.46
East India,Pitha,Rath Yatra,Odia,Upper,974.77
North India,Ladoo,Diwali,Urdu,Middle,754.18
East India,Sandesh,Makar Sankranti,Odia,Upper,211.84
South India,Boondi Laddu,Ugadi,Malayalam,Upper,910.44
South India,Kozhukattai,Onam,Tamil,Middle,322.62
West India,Mohanthal,Gudi Padwa,Marathi,Lower,989.54
South India,Payasam,Pongal,Telugu,Upper,728.45
West India,Ladoo,Diwali,Gujarati,Lower,715.38
East India,Chhena Poda,Rath Yatra,Odia,Middle,446.81
North India,Barfi,Karva Chauth,Punjabi,Upper,920.34
South India,Mysore Pak,Ugadi,Tamil,Upper,970.99
West India,Shrikhand,Diwali,Marathi,Lower,205.88
North India,Barfi,Karva Chauth,Urdu,Lower,365.51
West India,Mohanthal,Diwali,Gujarati,Lower,525.37
North India,Barfi,Baisakhi,Urdu,Middle,722.65
West India,Mohanthal,Navratri,Marathi,Middle,203.25
North India,Barfi,Holi,Hindi,Middle,541.51
North India,Gulab Jamun,Diwali,Urdu,Lower,708.03
North India,Gulab Jamun,Diwali,Urdu,Lower,716.72
North India,Gulab Jamun,Holi,Hindi,Upper,314.29
North India,Gulab Jamun,Diwali,Hindi,Middle,800.66
South India,Mysore Pak,Ugadi,Malayalam,Lower,554.98
East India,Chhena Poda,Poila Baisakh,Bengali,Lower,562.15
South India,Boondi Laddu,Pongal,Tamil,Upper,500.47
South India,Mysore Pak,Pongal,Telugu,Lower,587.22
South India,Mysore Pak,Ugadi,Malayalam,Upper,721.59
North India,Ladoo,Karva Chauth,Urdu,Lower,709.68
West India,Mohanthal,Ganesh Chaturthi,Marathi,Upper,897.94
West India,Mohanthal,Navratri,Konkani,Upper,434.67
East India,Chhena Poda,Rath Yatra,Odia,Upper,869.85
East India,Chhena Poda,Poila Baisakh,Odia,Lower,408.72
North India,Barfi,Diwali,Urdu,Middle,415.4
East India,Chhena Poda,Makar Sankranti,Odia,Lower,694.69
South India,Payasam,Ugadi,Telugu,Middle,191.14
South India,Kozhukattai,Ugadi,Tamil,Lower,607.2
North India,Ladoo,Baisakhi,Punjabi,Lower,238.75
North India,Rasgulla,Holi,Hindi,Upper,279.76
East India,Pitha,Makar Sankranti,Assamese,Upper,692.55
East India,Chhena Poda,Makar Sankranti,Assamese,Middle,181.26
East India,Sandesh,Poila Baisakh,Assamese,Upper,932.25
North India,Ladoo,Baisakhi,Hindi,Upper,563.5
West India,Shrikhand,Diwali,Konkani,Upper,521.32
West India,Puran Poli,Navratri,Konkani,Middle,625.99
West India,Puran Poli,Diwali,Konkani,Lower,231.09
East India,Rasgulla,Poila Baisakh,Assamese,Upper,321.14
South India,Payasam,Ugadi,Malayalam,Upper,713.5
North India,Rasgulla,Holi,Urdu,Middle,898.23
North India,Barfi,Holi,Punjabi,Upper,464.98
West India,Ladoo,Gudi Padwa,Konkani,Upper,459.15
South India,Kozhukattai,Ugadi,Malayalam,Middle,524.58
South India,Kozhukattai,Pongal,Malayalam,Middle,675.85
North India,Barfi,Karva Chauth,Punjabi,Lower,399.72
East India,Sandesh,Rath Yatra,Bengali,Lower,416.3
West India,Shrikhand,Gudi Padwa,Konkani,Lower,479.56
East India,Sandesh,Makar Sankranti,Odia,Upper,972.56
East India,Chhena Poda,Makar Sankranti,Odia,Lower,219.46
East India,Sandesh,Durga Puja,Bengali,Lower,320.11
East India,Rasgulla,Poila Baisakh,Odia,Upper,423.35
East India,Pitha,Rath Yatra,Assamese,Middle,167.89
West India,Mohanthal,Navratri,Gujarati,Upper,477.0
North India,Rasgulla,Diwali,Punjabi,Upper,672.72
West India,Mohanthal,Ganesh Chaturthi,Marathi,Lower,257.48
North India,Gulab Jamun,Holi,Punjabi,Lower,474.12
East India,Chhena Poda,Rath Yatra,Odia,Middle,448.13
East India,Sandesh,Rath Yatra,Bengali,Upper,418.82
South India,Payasam,Diwali,Telugu,Upper,110.02
South India,Mysore Pak,Onam,Kannada,Upper,627.01
West India,Puran Poli,Ganesh Chaturthi,Konkani,Lower,899.0
East India,Sandesh,Poila Baisakh,Bengali,Upper,197.67
West India,Shrikhand,Diwali,Gujarati,Upper,913.14
North India,Barfi,Baisakhi,Hindi,Lower,140.78
East India,Sandesh,Durga Puja,Odia,Upper,295.16
West India,Shrikhand,Diwali,Gujarati,Middle,120.83
South India,Boondi Laddu,Onam,Kannada,Lower,306.16
South India,Kozhukattai,Ugadi,Telugu,Lower,790.47
West India,Ladoo,Gudi Padwa,Marathi,Upper,706.45
North India,Gulab Jamun,Baisakhi,Punjabi,Middle,769.19
East India,Rasgulla,Rath Yatra,Odia,Lower,912.4
East India,Chhena Poda,Rath Yatra,Bengali,Middle,440.14
South India,Payasam,Onam,Kannada,Middle,623.36
West India,Shrikhand,Diwali,Gujarati,Middle,951.35
East India,Sandesh,Makar Sankranti,Assamese,Upper,228.23
West India,Puran Poli,Gudi Padwa,Marathi,Middle,835.45
West India,Mohanthal,Navratri,Marathi,Lower,225.22
South India,Boondi Laddu,Diwali,Telugu,Middle,973.07
South India,Boondi Laddu,Ugadi,Kannada,Middle,722.14
West India,Ladoo,Navratri,Marathi,Upper,924.98
North India,Ladoo,Karva Chauth,Punjabi,Middle,662.67
North India,Rasgulla,Diwali,Punjabi,Upper,186.31
East India,Rasgulla,Rath Yatra,Assamese,Middle,205.01
West India,Puran Poli,Diwali,Marathi,Upper,129.75
West India,Shrikhand,Ganesh Chaturthi,Marathi,Middle,729.56
West India,Ladoo,Diwali,Konkani,Upper,548.08
South India,Boondi Laddu,Pongal,Tamil,Middle,121.33
West India,Puran Poli,Diwali,Gujarati,Upper,532.05
West India,Ladoo,Ganesh Chaturthi,Marathi,Middle,399.68
South India,Payasam,Pongal,Tamil,Upper,388.85
East India,Sandesh,Makar Sankranti,Odia,Upper,953.77
West India,Shrikhand,Navratri,Konkani,Middle,528.78
South India,Boondi Laddu,Onam,Malayalam,Middle,642.6
West India,Mohanthal,Navratri,Gujarati,Upper,999.57
South India,Payasam,Onam,Malayalam,Middle,274.77
South India,Mysore Pak,Ugadi,Telugu,Middle,264.89
North India,Barfi,Baisakhi,Punjabi,Upper,684.13
West India,Ladoo,Diwali,Gujarati,Middle,236.99
West India,Ladoo,Gudi Padwa,Marathi,Middle,987.57
North India,Barfi,Karva Chauth,Hindi,Middle,454.33
North India,Ladoo,Baisakhi,Punjabi,Upper,782.61
North India,Barfi,Baisakhi,Punjabi,Upper,511.64
West India,Ladoo,Navratri,Marathi,Middle,626.37
North India,Rasgulla,Holi,Urdu,Middle,151.38
South India,Kozhukattai,Pongal,Tamil,Upper,380.95
South India,Mysore Pak,Diwali,Malayalam,Upper,699.78
South India,Payasam,Ugadi,Tamil,Upper,746.5
South India,Payasam,Onam,Telugu,Middle,978.18
North India,Ladoo,Diwali,Punjabi,Lower,969.67
North India,Rasgulla,Baisakhi,Hindi,Lower,933.67
West India,Ladoo,Ganesh Chaturthi,Marathi,Middle,934.6
West India,Shrikhand,Gudi Padwa,Gujarati,Upper,603.11
West India,Mohanthal,Navratri,Marathi,Lower,307.21
West India,Ladoo,Diwali,Marathi,Lower,851.69
West India,Ladoo,Gudi Padwa,Marathi,Upper,977.54
East India,Pitha,Poila Baisakh,Bengali,Upper,122.85
East India,Pitha,Makar Sankranti,Assamese,Lower,383.3
South India,Payasam,Ugadi,Kannada,Upper,663.69
West India,Mohanthal,Ganesh Chaturthi,Marathi,Middle,482.27
North India,Barfi,Holi,Urdu,Middle,944.19
East India,Sandesh,Makar Sankranti,Bengali,Lower,320.85
South India,Payasam,Diwali,Kannada,Lower,306.86
West India,Puran Poli,Ganesh Chaturthi,Marathi,Upper,159.96
West India,Shrikhand,Ganesh Chaturthi,Konkani,Lower,650.74
West India,Shrikhand,Navratri,Marathi,Middle,823.14
South India,Payasam,Ugadi,Malayalam,Middle,797.44
West India,Ladoo,Navratri,Marathi,Lower,202.96
South India,Kozhukattai,Pongal,Kannada,Middle,721.07
West India,Puran Poli,Ganesh Chaturthi,Marathi,Lower,626.48
South India,Kozhukattai,Onam,Malayalam,Middle,977.0
West India,Ladoo,Navratri,Marathi,Upper,543.69
South India,Mysore Pak,Onam,Kannada,Lower,560.26
West India,Shrikhand,Ganesh Chaturthi,Konkani,Upper,737.7
East India,Chhena Poda,Poila Baisakh,Bengali,Lower,605.67
South India,Kozhukattai,Onam,Telugu,Upper,345.59
West India,Mohanthal,Gudi Padwa,Konkani,Upper,325.71
West India,Ladoo,Ganesh Chaturthi,Marathi,Upper,485.25
East India,Pitha,Rath Yatra,Odia,Upper,565.35
North India,Gulab Jamun,Baisakhi,Urdu,Middle,616.16
West India,Mohanthal,Gudi Padwa,Marathi,Middle,819.68
West India,Shrikhand,Diwali,Konkani,Lower,679.83
South India,Mysore Pak,Onam,Tamil,Middle,506.07
East India,Sandesh,Durga Puja,Bengali,Middle,814.41
East India,Sandesh,Makar Sankranti,Bengali,Middle,736.97
East India,Sandesh,Durga Puja,Bengali,Lower,559.58
South India,Mysore Pak,Ugadi,Malayalam,Middle,978.62
West India,Shrikhand,Diwali,Konkani,Upper,270.63
North India,Ladoo,Karva Chauth,Punjabi,Upper,852.83
North India,Gulab Jamun,Holi,Hindi,Lower,910.12
North India,Gulab Jamun,Baisakhi,Urdu,Middle,461.07
East India,Chhena Poda,Poila Baisakh,Odia,Middle,917.41
East India,Chhena Poda,Rath Yatra,Assamese,Upper,623.22
South India,Mysore Pak,Pongal,Kannada,Middle,515.43
North India,Rasgulla,Baisakhi,Punjabi,Middle,905.67
North India,Gulab Jamun,Holi,Punjabi,Middle,570.39
East India,Pitha,Durga Puja,Odia,Upper,214.54
North India,Rasgulla,Baisakhi,Punjabi,Upper,686.54
South India,Boondi Laddu,Pongal,Tamil,Upper,251.44
South India,Mysore Pak,Diwali,Telugu,Middle,263.86
West India,Ladoo,Navratri,Gujarati,Middle,968.85
West India,Mohanthal,Navratri,Marathi,Upper,711.72
South India,Kozhukattai,Diwali,Telugu,Upper,438.14
West India,Mohanthal,Navratri,Gujarati,Lower,379.13
South India,Kozhukattai,Ugadi,Tamil,Lower,804.75
North India,Gulab Jamun,Karva Chauth,Hindi,Middle,457.43
North India,Barfi,Karva Chauth,Urdu,Lower,906.51
East India,Sandesh,Makar Sankranti,Assamese,Middle,485.15
North India,Ladoo,Baisakhi,Punjabi,Middle,776.56
North India,Ladoo,Holi,Punjabi,Upper,417.91
South India,Payasam,Diwali,Tamil,Lower,118.17
North India,Ladoo,Baisakhi,Punjabi,Upper,967.83
South India,Mysore Pak,Ugadi,Malayalam,Upper,123.81
North India,Rasgulla,Baisakhi,Punjabi,Middle,589.12
South India,Boondi Laddu,Pongal,Tamil,Upper,569.51
South India,Boondi Laddu,Onam,Telugu,Middle,592.54
West India,Shrikhand,Diwali,Gujarati,Lower,791.08
South India,Kozhukattai,Diwali,Tamil,Middle,598.28
East India,Chhena Poda,Poila Baisakh,Odia,Upper,890.42
South India,Boondi Laddu,Diwali,Kannada,Middle,650.84
North India,Rasgulla,Baisakhi,Punjabi,Upper,125.03
North India,Barfi,Karva Chauth,Hindi,Upper,876.58
East India,Pitha,Makar Sankranti,Assamese,Upper,141.77
East India,Pitha,Poila Baisakh,Odia,Lower,296.87
East India,Chhena Poda,Poila Baisakh,Assamese,Upper,511.82
North India,Gulab Jamun,Karva Chauth,Punjabi,Middle,160.82
West India,Puran Poli,Ganesh Chaturthi,Marathi,Middle,656.57
North India,Rasgulla,Baisakhi,Urdu,Upper,367.18
South India,Kozhukattai,Onam,Tamil,Middle,780.82
East India,Rasgulla,Poila Baisakh,Odia,Upper,596.93
East India,Rasgulla,Durga Puja,Bengali,Middle,822.34
South India,Payasam,Onam,Telugu,Middle,175.0
South India,Boondi Laddu,Ugadi,Malayalam,Middle,910.33
West India,Mohanthal,Gudi Padwa,Gujarati,Lower,863.15
West India,Ladoo,Navratri,Konkani,Upper,869.21
South India,Boondi Laddu,Ugadi,Telugu,Lower,889.77
South India,Kozhukattai,Onam,Kannada,Middle,946.27
South India,Kozhukattai,Pongal,Telugu,Middle,916.9
North India,Rasgulla,Karva Chauth,Hindi,Lower,214.22
South India,Boondi Laddu,Diwali,Malayalam,Upper,277.07
West India,Puran Poli,Navratri,Konkani,Middle,172.7
West India,Mohanthal,Gudi Padwa,Konkani,Middle,401.24
North India,Rasgulla,Diwali,Urdu,Upper,374.03
East India,Sandesh,Durga Puja,Bengali,Upper,927.38
East India,Chhena Poda,Poila Baisakh,Bengali,Lower,735.37
East India,Pitha,Makar Sankranti,Assamese,Upper,701.46
West India,Shrikhand,Ganesh Chaturthi,Konkani,Middle,987.18
West India,Puran Poli,Gudi Padwa,Marathi,Lower,417.95
South India,Boondi Laddu,Ugadi,Tamil,Upper,192.22
South India,Payasam,Diwali,Telugu,Upper,473.77
South India,Payasam,Onam,Tamil,Lower,257.78
North India,Ladoo,Diwali,Hindi,Upper,744.74
West India,Ladoo,Gudi Padwa,Marathi,Lower,242.37
North India,Ladoo,Diwali,Urdu,Lower,133.89
East India,Sandesh,Rath Yatra,Bengali,Middle,564.57
South India,Payasam,Onam,Telugu,Lower,304.65
North India,Rasgulla,Karva Chauth,Urdu,Lower,195.58
West India,Mohanthal,Navratri,Gujarati,Middle,760.49
North India,Barfi,Karva Chauth,Hindi,Lower,157.46
North India,Gulab Jamun,Diwali,Urdu,Lower,877.28
West India,Ladoo,Diwali,Konkani,Upper,495.46
West India,Puran Poli,Ganesh Chaturthi,Konkani,Middle,794.36
North India,Ladoo,Baisakhi,Urdu,Lower,326.43
West India,Shrikhand,Gudi Padwa,Konkani,Middle,712.63
East India,Sandesh,Poila Baisakh,Bengali,Middle,309.82
South India,Kozhukattai,Ugadi,Malayalam,Middle,919.49
South India,Kozhukattai,Onam,Telugu,Lower,590.23
West India,Ladoo,Navratri,Marathi,Middle,281.74
North India,Barfi,Holi,Punjabi,Upper,303.14
North India,Gulab Jamun,Diwali,Hindi,Lower,601.38
West India,Shrikhand,Gudi Padwa,Konkani,Upper,152.14
East India,Rasgulla,Rath Yatra,Odia,Upper,392.88
West India,Mohanthal,Ganesh Chaturthi,Gujarati,Upper,460.96
West India,Ladoo,Diwali,Gujarati,Lower,264.62
East India,Chhena Poda,Makar Sankranti,Bengali,Lower,360.83
South India,Boondi Laddu,Pongal,Telugu,Lower,877.98
North India,Barfi,Baisakhi,Punjabi,Upper,117.11
West India,Puran Poli,Ganesh Chaturthi,Marathi,Lower,860.88
East India,Sandesh,Makar Sankranti,Assamese,Upper,497.59
South India,Kozhukattai,Onam,Kannada,Upper,512.14
West India,Mohanthal,Diwali,Marathi,Upper,188.23
South India,Kozhukattai,Onam,Kannada,Lower,913.34
North India,Ladoo,Karva Chauth,Urdu,Middle,956.11
East India,Chhena Poda,Poila Baisakh,Odia,Upper,708.61
East India,Pitha,Durga Puja,Bengali,Middle,755.42
North India,Barfi,Holi,Punjabi,Lower,975.81
West India,Puran Poli,Navratri,Gujarati,Lower,109.32
East India,Rasgulla,Durga Puja,Assamese,Lower,496.26
East India,Sandesh,Durga Puja,Bengali,Lower,992.79
East India,Rasgulla,Makar Sankranti,Odia,Middle,673.42
East India,Rasgulla,Makar Sankranti,Odia,Upper,321.57
West India,Mohanthal,Ganesh Chaturthi,Marathi,Upper,739.09
North India,Ladoo,Baisakhi,Punjabi,Middle,507.67
North India,Barfi,Holi,Punjabi,Lower,187.44
West India,Ladoo,Gudi Padwa,Marathi,Middle,619.77
East India,Chhena Poda,Durga Puja,Assamese,Upper,934.0
East India,Chhena Poda,Durga Puja,Odia,Upper,647.99
East India,Chhena Poda,Rath Yatra,Assamese,Upper,553.57
West India,Puran Poli,Diwali,Marathi,Lower,646.18
East India,Chhena Poda,Poila Baisakh,Bengali,Upper,866.32
South India,Mysore Pak,Pongal,Telugu,Middle,221.21
North India,Ladoo,Karva Chauth,Urdu,Upper,588.09
West India,Ladoo,Diwali,Konkani,Upper,758.72
North India,Rasgulla,Baisakhi,Urdu,Middle,574.1
North India,Barfi,Diwali,Punjabi,Lower,949.47
North India,Barfi,Karva Chauth,Hindi,Upper,274.79
East India,Rasgulla,Durga Puja,Odia,Lower,932.64
West India,Mohanthal,Diwali,Konkani,Lower,782.09
West India,Puran Poli,Gudi Padwa,Gujarati,Upper,374.74
North India,Ladoo,Karva Chauth,Urdu,Upper,702.98
South India,Boondi Laddu,Diwali,Malayalam,Middle,993.14
West India,Mohanthal,Ganesh Chaturthi,Marathi,Middle,839.81
West India,Shrikhand,Gudi Padwa,Konkani,Upper,869.8
East India,Sandesh,Durga Puja,Bengali,Lower,258.0
West India,Mohanthal,Gudi Padwa,Marathi,Upper,935.82
North India,Rasgulla,Holi,Urdu,Middle,660.69
North India,Gulab Jamun,Holi,Urdu,Lower,757.42
East India,Pitha,Makar Sankranti,Bengali,Lower,140.71
North India,Gulab Jamun,Baisakhi,Urdu,Lower,904.89
North India,Ladoo,Diwali,Punjabi,Lower,793.59
East India,Sandesh,Makar Sankranti,Odia,Upper,426.87
North India,Barfi,Holi,Urdu,Lower,531.22
North India,Gulab Jamun,Holi,Punjabi,Upper,534.13
West India,Shrikhand,Ganesh Chaturthi,Gujarati,Upper,266.67
South India,Boondi Laddu,Pongal,Tamil,Middle,135.66
North India,Rasgulla,Holi,Urdu,Upper,909.1
North India,Ladoo,Karva Chauth,Punjabi,Upper,563.21
East India,Pitha,Makar Sankranti,Odia,Lower,102.6
East India,Sandesh,Rath Yatra,Bengali,Upper,632.71
South India,Payasam,Pongal,Tamil,Lower,682.14
East India,Rasgulla,Durga Puja,Assamese,Middle,102.18
North India,Rasgulla,Diwali,Punjabi,Lower,737.89
West India,Ladoo,Gudi Padwa,Gujarati,Middle,524.4
East India,Rasgulla,Makar Sankranti,Odia,Middle,805.01
North India,Ladoo,Baisakhi,Hindi,Upper,343.08
South India,Mysore Pak,Diwali,Kannada,Upper,952.99
South India,Payasam,Ugadi,Kannada,Upper,272.25
West India,Mohanthal,Diwali,Konkani,Upper,861.66
East India,Rasgulla,Makar Sankranti,Bengali,Middle,887.56
North India,Ladoo,Karva Chauth,Punjabi,Lower,135.83
South India,Boondi Laddu,Ugadi,Malayalam,Middle,307.33
East India,Sandesh,Durga Puja,Odia,Middle,273.14
North India,Ladoo,Karva Chauth,Punjabi,Upper,926.46
North India,Rasgulla,Baisakhi,Punjabi,Upper,772.46
West India,Shrikhand,Ganesh Chaturthi,Marathi,Upper,801.02
South India,Boondi Laddu,Ugadi,Telugu,Upper,653.15
West India,Shrikhand,Navratri,Konkani,Lower,351.63
North India,Barfi,Holi,Punjabi,Middle,773.72
West India,Mohanthal,Diwali,Konkani,Upper,486.34
East India,Sandesh,Poila Baisakh,Odia,Upper,239.33
South India,Mysore Pak,Ugadi,Kannada,Upper,939.97
North India,Ladoo,Diwali,Hindi,Lower,365.67
North India,Barfi,Diwali,Hindi,Middle,745.73
South India,Mysore Pak,Onam,Telugu,Lower,688.78
South India,Mysore Pak,Pongal,Telugu,Lower,149.2
North India,Ladoo,Karva Chauth,Hindi,Middle,858.11
North India,Gulab Jamun,Holi,Hindi,Upper,566.49
East India,Sandesh,Poila Baisakh,Odia,Upper,202.85
East India,Sandesh,Rath Yatra,Assamese,Lower,692.6
North India,Barfi,Baisakhi,Hindi,Upper,559.9
North India,Barfi,Diwali,Punjabi,Lower,615.53
South India,Payasam,Pongal,Telugu,Upper,991.64
North India,Barfi,Diwali,Hindi,Upper,758.82
West India,Puran Poli,Navratri,Konkani,Middle,525.47
South India,Payasam,Pongal,Telugu,Upper,697.88
North India,Gulab Jamun,Karva Chauth,Hindi,Lower,454.68
South India,Kozhukattai,Onam,Kannada,Upper,278.75
West India,Mohanthal,Gudi Padwa,Konkani,Upper,920.85
West India,Ladoo,Gudi Padwa,Marathi,Middle,498.25
North India,Ladoo,Karva Chauth,Punjabi,Lower,675.14
South India,Kozhukattai,Diwali,Telugu,Lower,310.23
South India,Mysore Pak,Onam,Malayalam,Middle,820.1
East India,Chhena Poda,Durga Puja,Bengali,Lower,643.23
South India,Payasam,Pongal,Malayalam,Upper,704.57
North India,Rasgulla,Baisakhi,Urdu,Middle,608.8
South India,Mysore Pak,Diwali,Kannada,Middle,939.82
South India,Kozhukattai,Onam,Kannada,Upper,364.82
East India,Rasgulla,Poila Baisakh,Assamese,Upper,227.62
South India,Payasam,Onam,Malayalam,Lower,317.28
West India,Mohanthal,Diwali,Gujarati,Lower,809.69
South India,Boondi Laddu,Onam,Malayalam,Upper,463.88
West India,Puran Poli,Ganesh Chaturthi,Marathi,Middle,796.95
West India,Shrikhand,Navratri,Marathi,Middle,436.13
East India,Rasgulla,Poila Baisakh,Assamese,Upper,828.43
South India,Mysore Pak,Ugadi,Tamil,Middle,350.11
West India,Shrikhand,Navratri,Gujarati,Upper,580.57
East India,Pitha,Rath Yatra,Odia,Upper,446.17
East India,Sandesh,Poila Baisakh,Assamese,Upper,653.17
South India,Boondi Laddu,Ugadi,Telugu,Middle,555.9
North India,Rasgulla,Diwali,Urdu,Lower,580.91
West India,Puran Poli,Ganesh Chaturthi,Konkani,Upper,212.28
South India,Payasam,Onam,Malayalam,Lower,201.56
South India,Boondi Laddu,Diwali,Tamil,Upper,432.39
West India,Mohanthal,Gudi Padwa,Konkani,Upper,514.63
East India,Rasgulla,Makar Sankranti,Odia,Lower,221.75
South India,Mysore Pak,Ugadi,Tamil,Middle,159.62
North India,Gulab Jamun,Baisakhi,Hindi,Middle,287.82
North India,Rasgulla,Diwali,Hindi,Lower,535.9
West India,Puran Poli,Diwali,Marathi,Lower,421.46
West India,Mohanthal,Diwali,Konkani,Upper,975.18
West India,Mohanthal,Ganesh Chaturthi,Marathi,Middle,374.41
North India,Gulab Jamun,Diwali,Urdu,Middle,656.9
South India,Mysore Pak,Onam,Tamil,Lower,758.06
North India,Barfi,Diwali,Hindi,Middle,771.38
South India,Payasam,Ugadi,Malayalam,Middle,754.39
North India,Rasgulla,Holi,Urdu,Upper,506.89
South India,Payasam,Ugadi,Telugu,Middle,395.41
North India,Barfi,Holi,Punjabi,Upper,104.62
South India,Kozhukattai,Pongal,Tamil,Middle,785.75
North India,Barfi,Karva Chauth,Punjabi,Middle,430.11
North India,Ladoo,Karva Chauth,Hindi,Lower,749.52
South India,Mysore Pak,Ugadi,Tamil,Lower,646.82
